Название,Зарплата,Опыт,Режим работы,Категория,min_salary,max_salary
Менеджер по работе с клиентами,"от 45 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Менеджмент,45000.0,45000.0
Директор филиала,"70 000 – 115 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,70000.0,115000.0
Репетитор начальных классов,"50 000 – 80 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Педагогика и преподавание,50000.0,80000.0
Начинающий специалист,"60 000 – 72 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,60000.0,72000.0
Репетитор по математике (5-9 класс),"50 000 – 80 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Педагогика и преподавание,50000.0,80000.0
Продавец-консультант,"от 51 700 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,51700.0,51700.0
Оператор call-центра,"55 000 – 70 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Поддержка клиентов,55000.0,70000.0
Электромеханик по средствам автоматики и приборам технологического оборудования,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,80000.0
Менеджер по транспортной логистике,"75 000 – 180 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Менеджмент,75000.0,180000.0
Менеджер по транспортной логистике,"75 000 – 180 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,75000.0,180000.0
Электромонтер по обслуживанию и ремонту электрооборудования,"от 57 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,57500.0,57500.0
"Специалист по продаже рекламы, Тольятти","60 000 – 100 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,60000.0,100000.0
Оператор call-центра,"от 68 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,68000.0,68000.0
Мастер - приемщик электронного лома,"70 000 – 90 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,70000.0,90000.0
Маркетолог,"от 75 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Маркетинг и реклама,75000.0,75000.0
Менеджер по закупкам и снабжению,"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,50000.0
Менеджер по продажам,"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
Специалист по взысканию installment loans с 1 по 30 день (без опыта),"до 98 184 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,98184.0,98184.0
"Оператор линии на автозавод (Тула, Калуга)","от 180 000 ₽ за вахту, на руки",Без опыта,Вахта,Поддержка клиентов,180000.0,180000.0
Оператор производственной линии,"от 170 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Вахта,Поддержка клиентов,170000.0,170000.0
Региональный менеджер по продажам,"от 60 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,60000.0,60000.0
Главный бухгалтер,"от 100 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Финансы/бухгалтерия,100000.0,100000.0
"Контролер ОТК (г. Дзержинск, Нижегородской область)","143 000 – 171 600 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Другое,143000.0,171600.0
Менеджер по логистике,"50 000 – 300 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,300000.0
Продавец-кассир (Автозаводский район),"от 52 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,52000.0,52000.0
"Сборщик спортивного инвентаря (Революционная, 42)","от 47 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,47500.0,47500.0
Оператор контактного центра / Менеджер поддержки пользователей,"70 000 – 80 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,70000.0,80000.0
Токарь - универсал,"от 200 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Промышленность,200000.0,200000.0
Менеджер по продажам (без поиска клиентов),"80 000 – 170 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Менеджмент,80000.0,170000.0
Менеджер/Администратор ресторана,"60 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Сфера обслуживания,60000.0,100000.0
Менеджер по продажам (IT),"80 000 – 150 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Менеджмент,80000.0,150000.0
"Кредитный специалист, г. Тольятти","40 000 – 65 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,40000.0,65000.0
Специалист отдела продаж (входящие заявки),"45 000 – 55 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,45000.0,55000.0
Инженер-конструктор,"до 90 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Промышленность,90000.0,90000.0
Юрист в производственную компанию,"до 70 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Юриспруденция,70000.0,70000.0
Наладчик ТПА,"от 90 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Другое,90000.0,90000.0
Сушист в Суши Мама,"от 46 800 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,46800.0,46800.0
Оператор-наладчик станков с ЧПУ,"215 000 – 230 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Поддержка клиентов,215000.0,230000.0
Сборщик-комплектовщик,"60 000 – 90 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,60000.0,90000.0
Сотрудник склада,"53 330 – 62 630 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Сфера доставки,53330.0,62630.0
Администратор,"40 000 – 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,40000.0,60000.0
Помощник директора филиала,"45 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,45000.0,45000.0
Ведущий маркетолог (сеть мебельных магазинов),"110 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Маркетинг и реклама,110000.0,110000.0
Технолог (металлообработки),"80 000 – 100 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,Можно удалённо,Другое,80000.0,100000.0
Главный бухгалтер,"от 70 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Финансы/бухгалтерия,70000.0,70000.0
Менеджер продаж (SEO-продвижение),"60 000 – 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,60000.0,100000.0
Директор филиала,"70 000 – 115 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,70000.0,115000.0
Начинающий специалист,"60 000 – 72 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,60000.0,72000.0
Специалист по охране труда,"45 000 – 65 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,45000.0,65000.0
Оператор call-центра,"55 000 – 70 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Поддержка клиентов,55000.0,70000.0
Электромеханик по средствам автоматики и приборам технологического оборудования,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,80000.0
Корректировщик ванн-аппаратчик химводоочистки,"92 000 – 103 400 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,92000.0,103400.0
Директор офиса/ помощник руководителя,"100 000 – 150 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,100000.0,150000.0
"Старший кассир (ТЦ Парк Хаус, г. Тольятти)","от 55 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Продажи,55500.0,55500.0
Продавец,"60 000 – 72 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,60000.0,72000.0
Продавец в салон ковров,"65 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Продажи,65000.0,100000.0
Руководитель отдела маркетинга (Сеть мебельных магазинов),"120 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Маркетинг и реклама,120000.0,120000.0
Экспедитор-комплектовщик,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,80000.0
Программист-разработчик WEB,"до 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,IT,100000.0,100000.0
Консультант 1С / Бухгалтер-консультант,"40 000 – 110 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,40000.0,110000.0
"Продавец-консультант (ТРЦ ""Мадагаскар"")","от 40 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,40000.0,40000.0
"Продавец-консультант (ТЦ ""Акварель"")","от 40 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,40000.0,40000.0
"Продавец-консультант (ТРК ""Ёлка"")","от 45 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,45000.0,45000.0
Инженер 2 категории,"от 83 824 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Промышленность,83824.0,83824.0
Мастер-приёмщик в Автосервис VAG,"от 70 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,70000.0,70000.0
Сотрудник кухни в Додо Пиццу,"54 000 – 68 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,54000.0,68000.0
Кассир в Додо Пиццу,"54 000 – 68 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,54000.0,68000.0
"Охранник на досмотр (речной порт, г. Чебоксары)","от 90 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Другое,90000.0,90000.0
Ветеринарный врач-консультант в зоомагазин,"от 38 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Медицина,38000.0,38000.0
Менеджер по работе с клиентами / Продавец памятников (входящий трафик),"40 000 – 85 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,40000.0,85000.0
Бухгалтер,"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,50000.0,50000.0
Повар,"от 56 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера обслуживания,56000.0,56000.0
Администратор спа-салона ТВОЙТАЙ,"от 60 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,60000.0,60000.0
"Бухгалтер, помощник главного бухгалтера","от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,50000.0,50000.0
Специалист по кадрам,"60 000 – 70 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,60000.0,70000.0
Менеджер по логистике,"от 70 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,70000.0,70000.0
Инженер/Ведущий инженер-проектировщик,"от 67 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Промышленность,67000.0,67000.0
Телемаркетолог,"50 000 – 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Маркетинг и реклама,50000.0,100000.0
Продуктовый маркетолог,"от 69 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Маркетинг и реклама,69000.0,69000.0
Бухгалтер на первичную документацию,"от 35 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,35000.0,35000.0
Специалист по обработке входящих заявок,"от 54 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,54000.0,54000.0
Контрактный управляющий,"20 000 – 25 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,20000.0,25000.0
"Руководитель колл-центра, супервайзер","40 000 – 90 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Автомобильная сфера,40000.0,90000.0
Администратор склада (транспортная логистика),"от 55 035 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,55035.0,55035.0
Резчик-грузчик,"от 65 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Автомобильная сфера,65000.0,65000.0
Продавец-кассир (Комсомольский район),"38 000 – 40 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,38000.0,40500.0
Зуборезчик (шевинговальщик),"80 000 – 140 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Другое,80000.0,140000.0
Зуборезчик (шевинговальщик),"80 000 – 140 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,140000.0
"Специалист по продаже рекламы, Тольятти","60 000 – 100 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,60000.0,100000.0
Консультант в Т-Банке,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
Мастер - приемщик электронного лома,"70 000 – 90 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,70000.0,90000.0
Специалист в клиентскую поддержку,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,40000.0,40000.0
Менеджер по закупкам и снабжению,"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,50000.0
Менеджер по продажам,"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
Специалист по взысканию installment loans с 1 по 30 день (без опыта),"до 98 184 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,98184.0,98184.0
Администратор медицинского центра,"45 000 – 50 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,45000.0,50000.0
"Оператор линии на автозавод (Тула, Калуга)","от 180 000 ₽ за вахту, на руки",Без опыта,Вахта,Поддержка клиентов,180000.0,180000.0
Менеджер по оптовым продажам,"60 000 – 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,60000.0,80000.0
Региональный менеджер по продажам,"от 60 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,60000.0,60000.0
Главный бухгалтер,"от 100 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Финансы/бухгалтерия,100000.0,100000.0
Продавец-кассир (Автозаводский район),"от 52 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,52000.0,52000.0
"Сборщик спортивного инвентаря (Революционная, 42)","от 47 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,47500.0,47500.0
Заместитель управляющего магазином (Автозаводский район),"от 75 400 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,75400.0,75400.0
Токарь - универсал,"от 200 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Промышленность,200000.0,200000.0
Продавец-кассир магазина одежды CLEVER (Парк Хаус),"40 000 – 50 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,40000.0,50000.0
Менеджер по продажам (без поиска клиентов),"80 000 – 170 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Менеджмент,80000.0,170000.0
Менеджер/Администратор ресторана,"60 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Сфера обслуживания,60000.0,100000.0
Помощник тестировщика техники,"от 85 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Промышленность,85000.0,85000.0
Специалист отдела продаж (входящие заявки),"45 000 – 55 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,45000.0,55000.0
Ведущий специалист по инвестиционной деятельности,"до 90 000 ₽ за месяц, на руки",Опыт 3-6 лет,Можно удалённо,Финансы/бухгалтерия,90000.0,90000.0
Менеджер по продажам (входящие лиды),"55 000 – 90 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Менеджмент,55000.0,90000.0
Сушист в Суши Мама,"от 46 800 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,46800.0,46800.0
Оператор-наладчик станков с ЧПУ,"215 000 – 230 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Поддержка клиентов,215000.0,230000.0
Менеджер по продажам в центр оздоровительного массажного оборудования,"от 75 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,75000.0,75000.0
Консультант по продуктам банка,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
Администратор,"40 000 – 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,40000.0,60000.0
Главный бухгалтер,"от 70 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Финансы/бухгалтерия,70000.0,70000.0
Менеджер продаж (SEO-продвижение),"60 000 – 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,60000.0,100000.0
Директор филиала,"70 000 – 115 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,70000.0,115000.0
Репетитор начальных классов,"50 000 – 80 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Педагогика и преподавание,50000.0,80000.0
Репетитор по математике (5-9 класс),"50 000 – 80 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Педагогика и преподавание,50000.0,80000.0
Оператор call-центра,"55 000 – 70 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Поддержка клиентов,55000.0,70000.0
Электромеханик по средствам автоматики и приборам технологического оборудования,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,80000.0
Продавец - консультант (Аэрохолл),"55 000 – 70 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,55000.0,70000.0
Продавец в салон ковров,"65 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Продажи,65000.0,100000.0
Экспедитор-комплектовщик,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,80000.0
Менеджер по качеству,"60 000 – 75 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,60000.0,75000.0
Консультант в T-Bank,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
"Продавец-консультант (ТРЦ ""Мадагаскар"")","от 40 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,40000.0,40000.0
"Продавец-консультант (ТЦ ""Акварель"")","от 40 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,40000.0,40000.0
"Продавец-консультант (ТРК ""Ёлка"")","от 45 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,45000.0,45000.0
Менеджер по отгрузке товаров,"40 000 – 70 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,40000.0,70000.0
Медицинская сестра/Медицинский брат,"от 70 000 ₽ за месяц, на руки",Опыт более 6 лет,На месте работодателя,Медицина,70000.0,70000.0
Слесарь по ремонту оборудования дорожностроительных машин и тракторов,"165 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Промышленность,165000.0,165000.0
Администратор спа-салона ТВОЙТАЙ,"от 60 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,60000.0,60000.0
"Бухгалтер, помощник главного бухгалтера","от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,50000.0,50000.0
Оператор ПК / Печатник широкоформатной печати,"40 000 – 55 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Поддержка клиентов,40000.0,55000.0
Телемаркетолог,"50 000 – 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Маркетинг и реклама,50000.0,100000.0
Специалист по обработке входящих заявок,"от 54 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,54000.0,54000.0
