Название,Зарплата,Опыт,Режим работы,Категория,min_salary,max_salary
Менеджер отдела продаж (Без поиска клиентов),"80 000 – 170 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Менеджмент,80000.0,170000.0
Сменный мастер на производство строительных материалов,"до 89 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Другое,89000.0,89000.0
Техник по эксплуатации,"от 57 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Промышленность,57000.0,57000.0
Ведущий специалист отдела исполнительного производства,"57 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Другое,57000.0,57000.0
Водитель погрузчика,"от 93 000 ₽ за месяц, до вычета налогов",Без опыта,Вахта,Автомобильная сфера,93000.0,93000.0
Прораб,"90 000 – 110 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,90000.0,110000.0
Комплектовщик,"от 50 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,50000.0,50000.0
Менеджер по продажам,"70 000 – 250 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,70000.0,250000.0
Электромонтажник по силовым сетям,"от 260 000 ₽ за вахту, на руки",Опыт 1-3 года,Вахта,Промышленность,260000.0,260000.0
Ведущий инженер по наладке и испытаниям,"150 000 – 170 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,150000.0,170000.0
Инженер АСУП (АСУТП),"от 145 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,145000.0,145000.0
Стажер/Клиентский менеджер стандартного сегмента,"от 54 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Менеджмент,54000.0,54000.0
Хостес,"28 000 – 35 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,28000.0,35000.0
Ведущий инженер-конструктор,"от 120 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,120000.0,120000.0
Заместитель руководителя службы технического контроля,"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Другое,100000.0,100000.0
Менеджер-дизайнер,"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,50000.0
Специалист по обслуживанию юридических лиц,"46 200 – 62 370 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,46200.0,62370.0
Менеджер по продажам автомобилей,"120 000 – 200 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Менеджмент,120000.0,200000.0
Сварщик на производство,"от 210 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Вахта,Другое,210000.0,210000.0
Unity-разработчик / программист,"80 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,IT,80000.0,100000.0
Помощник повара,"от 55 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Сфера обслуживания,55000.0,55000.0
Грузчик в цех,"от 70 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Автомобильная сфера,70000.0,70000.0
Ведущий специалист отдела главного энергетика,"от 130 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,130000.0,130000.0
Программист 1С,"от 130 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,IT,130000.0,130000.0
"Оператор 1С, кладовщик","60 000 – 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,60000.0,80000.0
Рекрутер,"до 300 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Другое,300000.0,300000.0
"Бухгалтер (производство), офис в г. Копейск","от 70 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Финансы/бухгалтерия,70000.0,70000.0
Администратор,"30 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Менеджмент,30000.0,30000.0
Торговый представитель / менеджер по продажам / торговый агент,"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
Технический/промышленный дизайнер,"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,50000.0,50000.0
Машинист БКМ,"от 140 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Другое,140000.0,140000.0
Дворник,"30 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,30000.0,30000.0
Вальцовщик,"70 000 – 82 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,70000.0,82000.0
Бухгалтер,"60 000 – 65 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,60000.0,65000.0
Администратор клиентской зоны,"28 500 – 31 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,28500.0,31000.0
Специалист в области охраны труда,"90 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,90000.0,90000.0
Повар-универсал (Ленинский),"от 59 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Сфера обслуживания,59000.0,59000.0
Водитель карьерного самосвала А3,"300 000 ₽ за вахту, до вычета налогов",Опыт 1-3 года,Вахта,Автомобильная сфера,300000.0,300000.0
Менеджер по закупкам и снабжению,"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
Станочник,"от 75 500 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,75500.0,75500.0
Хостес-администратор в ночной клуб,"от 75 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,75000.0,75000.0
Электромонтер,"от 120 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Другое,120000.0,120000.0
Сотрудница / сотрудник на производство (производство подарочных коробок),"от 45 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Другое,45000.0,45000.0
Сотрудница / сотрудник на производство (производство подарочных коробок),"от 45 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,45000.0,45000.0
Руководитель технического отдела,"от 93 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Автомобильная сфера,93000.0,93000.0
Консультант в Т-Банк,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
Консультант в Т-Банке,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
"Менеджер по продажам модульных изделий (дома, бани)","от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
Менеджер по работе с клиентами,"от 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,60000.0,60000.0
Продавец-консультант,"40 000 – 90 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,40000.0,90000.0
Оператор контактного центра на дому,"45 000 – 55 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,45000.0,55000.0
Специалист технической поддержки (без продаж),"47 000 – 54 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Продажи,47000.0,54000.0
Мастер-Начальник Производства,"150 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,150000.0,200000.0
Маляр по дереву,"120 000 – 180 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,120000.0,180000.0
Маляр по металлу,"80 000 – 110 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,110000.0
Кладовщик (теплое помещение),"100 000 – 130 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Продажи,100000.0,130000.0
Специалист в клиентскую поддержку,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,40000.0,40000.0
"Продавец в ТЦ ""Родник""","от 49 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,49000.0,49000.0
Специалист по печати 3D-стикеров/печатник/оператор заливочной машины,"от 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Поддержка клиентов,60000.0,60000.0
Сиделка,"45 000 – 90 000 ₽ за месяц, на руки",Без опыта,Вахта,Медицина,45000.0,90000.0
Специалист по работе с просроченной задолженностью,"60 000 – 120 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,60000.0,120000.0
Региональный представитель HYUNDAI Electric с опытом в электротехническом оборудовании (удаленно),"от 200 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Другое,200000.0,200000.0
Уборщица/Уборщик помещений,"40 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Сфера обслуживания,40000.0,40000.0
Оператор call-центра (без поиска клиентов),"35 000 – 50 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Поддержка клиентов,35000.0,50000.0
Руководитель отдела продаж,"70 000 – 250 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Продажи,70000.0,250000.0
Менеджер в пункт выдачи заказов СДЭК,"от 45 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,45000.0,45000.0
"Менеджер по продажам (маркетплейсы, розница, опт, ВЭД)","70 000 – 150 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Менеджмент,70000.0,150000.0
Специалист по выкладке товара,"от 63 580 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,63580.0,63580.0
Party girl (Пати Герл)/Party boy (Пати Бой),"от 75 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,75000.0,75000.0
Артистка в шоу-балет,"от 100 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,100000.0,100000.0
Мастер цеха,"от 90 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,90000.0,90000.0
Менеджер по логистике,"85 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,85000.0,200000.0
Специалист по настройке Битрикс24 (интегратор),"60 000 – 90 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Другое,60000.0,90000.0
Мерчендайзер,"9 600 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,9600.0,9600.0
Продавец на линию раздачи,"50 000 – 55 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Продажи,50000.0,55000.0
Повар (Родионова 11),"от 52 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера обслуживания,52000.0,52000.0
Помощник арбитражного управляющего/Юрист по банкротству,"от 60 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Юриспруденция,60000.0,60000.0
Главный энергетик в сферу ЖКХ,"от 90 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,90000.0,90000.0
Ведущий развлекательных игр,"20 000 – 70 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,20000.0,70000.0
Хостес,"16 000 – 35 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,16000.0,35000.0
Бухгалтер по расчету заработной платы,"80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,80000.0,80000.0
Менеджер отдела продаж (Без поиска клиентов),"80 000 – 170 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Менеджмент,80000.0,170000.0
"Продавец-консультант (Дарвина,2)","от 56 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,56500.0,56500.0
Менеджер по продажам,"70 000 – 250 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,70000.0,250000.0
Менеджер отдела продаж,"55 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,55000.0,200000.0
Ведущий инженер по наладке и испытаниям,"150 000 – 170 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,150000.0,170000.0
Стажер/Клиентский менеджер стандартного сегмента,"от 54 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Менеджмент,54000.0,54000.0
Хостес,"28 000 – 35 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,28000.0,35000.0
Ведущий инженер-конструктор,"от 120 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,120000.0,120000.0
Заместитель руководителя службы технического контроля,"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Другое,100000.0,100000.0
Ведущий инженер-технолог,"от 102 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Промышленность,102000.0,102000.0
Оператор 1С,"от 48 800 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Поддержка клиентов,48800.0,48800.0
Менеджер по продажам автомобилей,"120 000 – 200 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Менеджмент,120000.0,200000.0
Ведущий менеджер по продажам,"80 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,80000.0,120000.0
Помощник повара,"от 55 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Сфера обслуживания,55000.0,55000.0
Офис-менеджер,"от 40 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,40000.0,40000.0
Программист 1С,"от 130 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,IT,130000.0,130000.0
"Бухгалтер (производство), офис в г. Копейск","от 70 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Финансы/бухгалтерия,70000.0,70000.0
Менеджер чат-поддержки,"до 70 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,70000.0,70000.0
Торговый представитель / менеджер по продажам / торговый агент,"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
Продавец-консультант (остров Casio ТЦ Алмаз),"от 65 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,65000.0,65000.0
Слесарь котельного оборудования,"от 40 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Промышленность,40000.0,40000.0
Ведущий специалист по инвестиционной деятельности,"до 90 000 ₽ за месяц, на руки",Опыт 3-6 лет,Можно удалённо,Финансы/бухгалтерия,90000.0,90000.0
Вальцовщик,"70 000 – 82 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,70000.0,82000.0
Бухгалтер,"60 000 – 65 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,60000.0,65000.0
Менеджер по продажам экипировки и аксессуаров,"40 000 – 80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,40000.0,80000.0
Слесарь КИПиА,"100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Промышленность,100000.0,100000.0
Электромонтер по ремонту и обслуживанию электрооборудования 6 разряда,"100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,100000.0,100000.0
Слесарь-электрик по ремонту и обслуживанию электрооборудования,"100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Промышленность,100000.0,100000.0
Бухгалтер на первичную документацию,"40 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,40000.0,40000.0
Повар-универсал (Ленинский),"от 59 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Сфера обслуживания,59000.0,59000.0
Водитель карьерного самосвала А3,"300 000 ₽ за вахту, до вычета налогов",Опыт 1-3 года,Вахта,Автомобильная сфера,300000.0,300000.0
Хостес-администратор в ночной клуб,"от 75 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,75000.0,75000.0
Электромонтер по ремонту и обслуживанию электрооборудования,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,80000.0
"Менеджер по продажам, г. Челябинск","от 90 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,90000.0,90000.0
Помощник юриста,"40 000 – 55 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Юриспруденция,40000.0,55000.0
"Мастер сервисного центра, ТЦ ""Алое поле""","от 52 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,52000.0,52000.0
Врач-косметолог,"от 150 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Медицина,150000.0,150000.0
Водитель категории ВСЕ,"от 80 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Автомобильная сфера,80000.0,80000.0
Бухгалтер по расчету заработной платы,"40 000 – 48 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,40000.0,48000.0
Менеджер по продажам сельскохозяйственной техники,"от 150 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,150000.0,150000.0
"Продавец-кассир на утренние смены (ТЦ ""Алое Поле"")","от 49 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,49000.0,49000.0
Менеджер по продажам запасных частей к сельхозтехнике,"от 120 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,120000.0,120000.0
Медицинская сестра/медицинский брат (оториноларингологический кабинет),"от 35 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Медицина,35000.0,35000.0
Начальник планово-экономического отдела,"от 90 000 ₽ за месяц, на руки",Опыт более 6 лет,На месте работодателя,Другое,90000.0,90000.0
Ведущий специалист по закупкам,"от 55 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Продажи,55000.0,55000.0
Администратор (Север Советского района),"42 000 – 50 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Менеджмент,42000.0,50000.0
Начинающий повар,"до 64 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Сфера обслуживания,64000.0,64000.0
"Опрос покупателей (Черкасская, 15)","5 000 ₽ за услугу, на руки",Без опыта,На месте работодателя,Другое,5000.0,5000.0
Менеджер записи на вводный урок,"60 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Менеджмент,60000.0,100000.0
Инструктор,"40 000 – 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,40000.0,80000.0
Слесарь по ремонту дорожно-строительной техники,"165 000 – 195 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Промышленность,165000.0,195000.0
Администратор (Совет и Центр),"42 000 – 50 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,42000.0,50000.0
Консультант по продуктам банка,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
